cgpa,iq
8.9,116
8.17,113
5.26,91
6.14,88
5.84,110
9.3,86
9.3,118
6.45,87
8.88,115
6.79,121
5.76,94
9.3,110
5.88,98
6.4,121
9.3,116
6.22,93
9.3,121
7.25,91
9.3,84
4.63,120
9.3,113
8.97,92
7.52,95
8.84,97
9.3,91
5.31,121
9.17,101
8.81,121
5.11,121
6.87,106
9.3,121
9.3,88
5.61,108
5.67,96
6.67,115
6.98,116
7.52,83
7.25,95
5.49,98
4.6,111
5.75,106
9.1,121
6.82,110
6.64,117
9.3,116
6.69,85
9.3,86
9.3,91
9.3,109
9.03,113
6.54,117
8.56,83
6.02,119
9.3,93
7.65,119
9.3,86
9.3,111
9.23,97
5.15,100
9.3,116
5.79,110
9.3,83
9.3,103
7.94,112
6.71,112
9.29,112
9.3,116
9.3,114
6.3,121
7.19,106
9.3,116
6.88,119
7.42,121
9.3,110
5.71,101
9.3,91
9.3,111
8.95,83
9.3,106
5.18,103
6.22,85
9.3,84
9.3,96
9.3,89
6.94,93
6.22,94
6.35,109
9.3,105
5.86,121
9.3,116
8.46,107
8.67,91
6.19,92
8.98,116
9.3,88
8.9,83
7.22,121
8.63,96
6.47,113
9.3,110
9.3,106
9.3,115
9.3,114
6.51,106
9.3,97
6.51,90
9.3,94
9.3,107
9.3,120
4.6,91
9.3,87
9.3,113
9.3,121
7.86,110
9.3,119
9.3,117
6.64,114
7.94,107
5.34,110
6.32,104
7.2,109
5.75,121
8.19,115
9.3,100
5.88,86
9.3,118
7.27,120
9.3,108
8.1,112
5.73,100
9.28,83
8.58,121
5.65,113
6.7,99
8.99,87
9.3,88
8.35,117
8.69,111
5.84,112
8.43,108
5.51,102
9.19,84
8.01,121
9.3,104
7.37,83
9.3,121
5.98,108
5.93,120
5.59,83
9.3,121
8.75,113
9.3,121
9.3,103
9.3,91
9.3,88
6.57,114
9.3,119
7.59,118
7.05,115
8.87,112
7.98,102
9.3,97
9.3,93
5.28,116
8.15,114
7.16,116
9.3,93
8.1,103
6.3,98
9.3,100
9.3,115
8.57,114
5.5,111
4.6,113
9.3,83
9.3,117
9.3,115
4.74,111
6.22,121
6.89,83
6.29,107
6.08,83
9.3,110
5.72,109
9.3,107
9.3,95
8.43,93
9.3,88
6.07,87
9.3,106
9.05,114
9.15,121
8.1,121
